bike.id,model,category1,category2,frame,price
60,Scalpel-Si Carbon 4,Mountain,Cross Country Race,Carbon,4260
61,Scalpel-Si 5,Mountain,Cross Country Race,Aluminum,3200
62,Scalpel 29 Carbon Race,Mountain,Cross Country Race,Carbon,6390
63,Scalpel 29 Carbon 2,Mountain,Cross Country Race,Carbon,5330
64,Scalpel 29 Carbon 3,Mountain,Cross Country Race,Carbon,4260
65,Scalpel 29 4,Mountain,Cross Country Race,Aluminum,3200
66,F-Si Black Inc.,Mountain,Cross Country Race,Carbon,11190
67,F-Si Hi-Mod Team,Mountain,Cross Country Race,Carbon,9060
68,F-Si Hi-Mod 1,Mountain,Cross Country Race,Carbon,6390
69,F-Si Carbon 2,Mountain,Cross Country Race,Carbon,4800
70,F-Si Carbon 4,Mountain,Cross Country Race,Carbon,2880
71,F-Si 1,Mountain,Cross Country Race,Aluminum,2340
72,F-Si 2,Mountain,Cross Country Race,Aluminum,2060
73,F-Si 3,Mountain,Cross Country Race,Aluminum,1840
74,Fat CAAD1,Mountain,Fat Bike,Aluminum,3730
75,Fat CAAD2,Mountain,Fat Bike,Aluminum,2130
76,Beast of the East 1,Mountain,Trail,Aluminum,2770
77,Beast of the East 2,Mountain,Trail,Aluminum,2130
78,Beast of the East 3,Mountain,Trail,Aluminum,1620
79,Bad Habit 1,Mountain,Trail,Aluminum,3200
80,Bad Habit 2,Mountain,Trail,Aluminum,2660
81,Habit Hi-Mod Black Inc.,Mountain,Trail,Carbon,12250
82,Habit Carbon 1,Mountain,Trail,Carbon,7460
83,Habit Carbon 2,Mountain,Trail,Carbon,5330
84,Habit Carbon SE,Mountain,Trail,Carbon,4480
85,Habit Carbon 3,Mountain,Trail,Carbon,3730
86,Habit 4,Mountain,Trail,Aluminum,2880
87,Habit 5,Mountain,Trail,Aluminum,2340
88,Habit 6,Mountain,Trail,Aluminum,1950
89,Trail 1,Mountain,Sport,Aluminum,1520
90,Trail 2,Mountain,Sport,Aluminum,1350
91,Trail 3,Mountain,Sport,Aluminum,1080
92,Trail 4,Mountain,Sport,Aluminum,980
93,Trail 5,Mountain,Sport,Aluminum,815
94,Catalyst 1,Mountain,Sport,Aluminum,705
95,Catalyst 2,Mountain,Sport,Aluminum,585
96,Catalyst 3,Mountain,Sport,Aluminum,480
97,Catalyst 4,Mountain,Sport,Aluminum,415
